"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","ELECTRICITY","TOT","GWH","A","1990",144926,
"AUS","ELECTRICITY","TOT","GWH","A","1991",147121,
"AUS","ELECTRICITY","TOT","GWH","A","1992",149306,
"AUS","ELECTRICITY","TOT","GWH","A","1993",153420,
"AUS","ELECTRICITY","TOT","GWH","A","1994",157232,
"AUS","ELECTRICITY","TOT","GWH","A","1995",162402,
"AUS","ELECTRICITY","TOT","GWH","A","1996",166640,
"AUS","ELECTRICITY","TOT","GWH","A","1997",171912,
"AUS","ELECTRICITY","TOT","GWH","A","1998",183015,
"AUS","ELECTRICITY","TOT","GWH","A","1999",190064,
"AUS","ELECTRICITY","TOT","GWH","A","2000",195402,
"AUS","ELECTRICITY","TOT","GWH","A","2001",206772,
"AUS","ELECTRICITY","TOT","GWH","A","2002",213004,
"AUS","ELECTRICITY","TOT","GWH","A","2003",205309,
"AUS","ELECTRICITY","TOT","GWH","A","2004",210162,
"AUS","ELECTRICITY","TOT","GWH","A","2005",214526,
"AUS","ELECTRICITY","TOT","GWH","A","2006",218390,
"AUS","ELECTRICITY","TOT","GWH","A","2007",227066,
"AUS","ELECTRICITY","TOT","GWH","A","2008",228073,
"AUS","ELECTRICITY","TOT","GWH","A","2009",232688,
"AUS","ELECTRICITY","TOT","GWH","A","2010",237384,
"AUS","ELECTRICITY","TOT","GWH","A","2011",240739,
"AUS","ELECTRICITY","TOT","GWH","A","2012",236580,
"AUS","ELECTRICITY","TOT","GWH","A","2013",235522,
"AUS","ELECTRICITY","TOT","GWH","A","2014",232621,
"AUS","ELECTRICITY","TOT","GWH","A","2015",238533,
"AUS","ELECTRICITY","TOT","GWH","A","2016",243262,
"AUS","ELECTRICITY","TOT","GWH","A","2017",243517,
"AUS","ELECTRICITY","TOT","GWH","A","2018",247293.164,
"AUS","ELECTRICITY","TOT","GWH","A","2019",250530.937,
"AUS","ELECTRICITY","TOT","GWH","A","2020",251913.481,
"AUS","ELECTRICITY","TOT","GWH","A","2021",252505.422,
"AUS","ELECTRICITY","TOT","GWH","A","2022",,"L"
"AUT","ELECTRICITY","TOT","GWH","A","1990",48376,
"AUT","ELECTRICITY","TOT","GWH","A","1991",49499,
"AUT","ELECTRICITY","TOT","GWH","A","1992",49372,
"AUT","ELECTRICITY","TOT","GWH","A","1993",51184,
"AUT","ELECTRICITY","TOT","GWH","A","1994",51992,
"AUT","ELECTRICITY","TOT","GWH","A","1995",54943,
"AUT","ELECTRICITY","TOT","GWH","A","1996",53155,
"AUT","ELECTRICITY","TOT","GWH","A","1997",55142,
"AUT","ELECTRICITY","TOT","GWH","A","1998",55511,
"AUT","ELECTRICITY","TOT","GWH","A","1999",58550,
"AUT","ELECTRICITY","TOT","GWH","A","2000",59054,
"AUT","ELECTRICITY","TOT","GWH","A","2001",60111,
"AUT","ELECTRICITY","TOT","GWH","A","2002",59937,
"AUT","ELECTRICITY","TOT","GWH","A","2003",57413,
"AUT","ELECTRICITY","TOT","GWH","A","2004",61387,
"AUT","ELECTRICITY","TOT","GWH","A","2005",63671,
